Time,PVLow,PVMid,PVHigh,PVLowProb,PVMidProb,PVHighProb
0,0,0,0,0,1,0
1,0,0,0,0,1,0
2,0,0,0,0,1,0
3,0,0,0,0,1,0
4,0,0,0,0,1,0
5,0,0.06,0.09,0.25,0.5,0.25
6,0,0.25,0.32,0.25,0.5,0.25
7,0.14,0.91,1.05,0.25,0.5,0.25
8,0.82,1.63,1.81,0.25,0.5,0.25
9,0.38,2.09,2.39,0.25,0.5,0.25
10,0.67,2.26,2.82,0.25,0.5,0.25
11,0.32,2.08,3.02,0.25,0.5,0.25
12,0.47,2.08,3.05,0.25,0.5,0.25
13,0.28,1.8,2.9,0.25,0.5,0.25
14,0.29,1.81,2.57,0.25,0.5,0.25
15,0.04,1.41,2.06,0.25,0.5,0.25
16,0.01,0.9,1.36,0.25,0.5,0.25
17,0,0.45,0.56,0.25,0.5,0.25
18,0.02,0.12,0.18,0.25,0.5,0.25
19,0,0,0,0,1,0
20,0,0,0,0,1,0
21,0,0,0,0,1,0
22,0,0,0,0,1,0
23,0,0,0,0,1,0
